model,term,coef,se
Model 1: OLS + HC3 (no FE),const,0.0006307648009582787,0.006099728748468965
Model 1: OLS + HC3 (no FE),TariffSent_mean,-0.003996738522976399,0.006639367860657799
Model 1: OLS + HC3 (no FE),eps_surprise,0.10353310723058734,0.12090623101571196
Model 1: OLS + HC3 (no FE),TariffMentions,-0.0001114018203085665,0.0003780705915425271
Model 1: OLS + HC3 (no FE),size,-0.0179933653991855,0.3596301859650358
Model 1: OLS + HC3 (no FE),momentum,0.04469926568668666,0.014349571262749041
Model 1: OLS + HC3 (no FE),after_hours,-0.003052164409834729,0.005991461701050408
Model 2: OLS + Sector & Quarter FE + Firm-clustered SEs,const,-0.028896624221945263,0.007359022637639326
Model 2: OLS + Sector & Quarter FE + Firm-clustered SEs,TariffSent_mean,-0.004139527514524245,0.007026855973603567
Model 2: OLS + Sector & Quarter FE + Firm-clustered SEs,eps_surprise,0.07615682585708633,0.1137814933524113
Model 2: OLS + Sector & Quarter FE + Firm-clustered SEs,TariffMentions,3.6603172536276134e-05,0.00039212588648696137
Model 2: OLS + Sector & Quarter FE + Firm-clustered SEs,size,-0.002206743301531977,0.37572412766052027
Model 2: OLS + Sector & Quarter FE + Firm-clustered SEs,momentum,0.045032456808620634,0.01186945157105738
Model 2: OLS + Sector & Quarter FE + Firm-clustered SEs,after_hours,-0.004230651229581045,0.006628011649150888
Model 2: OLS + Sector & Quarter FE + Firm-clustered SEs,sector_Communication Services,0.03359330747563964,0.011232944765782273
Model 2: OLS + Sector & Quarter FE + Firm-clustered SEs,sector_Consumer Cyclical,0.013547589719508191,0.008390126552899816
Model 2: OLS + Sector & Quarter FE + Firm-clustered SEs,sector_Consumer Defensive,0.024609014588591445,0.006288577419925476
Model 2: OLS + Sector & Quarter FE + Firm-clustered SEs,sector_Energy,0.011103562401103672,0.004439767917325216
Model 2: OLS + Sector & Quarter FE + Firm-clustered SEs,sector_Financial Services,0.014477995148256583,0.004789445283308825
Model 2: OLS + Sector & Quarter FE + Firm-clustered SEs,sector_Healthcare,0.02304049600208402,0.005027939362662589
Model 2: OLS + Sector & Quarter FE + Firm-clustered SEs,sector_Industrials,0.008678015383114714,0.0060147904114649185
Model 2: OLS + Sector & Quarter FE + Firm-clustered SEs,sector_Real Estate,0.03199129851376451,0.004880348971665822
Model 2: OLS + Sector & Quarter FE + Firm-clustered SEs,sector_Technology,0.017025168545363595,0.008469224154114118
Model 2: OLS + Sector & Quarter FE + Firm-clustered SEs,sector_Utilities,0.02077042207648198,0.0057053876476277155
Model 2: OLS + Sector & Quarter FE + Firm-clustered SEs,quarter_2024_Q2,0.014530149893499118,0.010462494183813757
Model 2: OLS + Sector & Quarter FE + Firm-clustered SEs,quarter_2024_Q3,0.014933931786145788,0.0089379234521037
Model 2: OLS + Sector & Quarter FE + Firm-clustered SEs,quarter_2024_Q4,0.01814855850536039,0.009565390060927046
Model 2: OLS + Sector & Quarter FE + Firm-clustered SEs,quarter_2025_Q1,0.009952518934814213,0.008294333660839407
Model 2: OLS + Sector & Quarter FE + Firm-clustered SEs,quarter_2025_Q2,0.0019665218499606042,0.008723712747740354
Model 2: OLS + Sector & Quarter FE + Firm-clustered SEs,quarter_2025_Q3,0.007293391549470698,0.013505730236492342
