exchange,symbol,company_name,year,quarter,conference_date,date,has_transcript
NASDAQ,AAPL,Apple Inc.,2023,4,2023-11-03 17:00:00,2023-11-03,NO
NASDAQ,AAPL,Apple Inc.,2023,3,2023-08-03 17:00:00,2023-08-03,NO
NASDAQ,AAPL,Apple Inc.,2023,2,2023-05-04 14:00:00,2023-05-04,NO
NASDAQ,AAPL,Apple Inc.,2023,1,2023-02-02 17:00:00,2023-02-02,NO
NASDAQ,AAPL,Apple Inc.,2022,4,2022-10-27 14:00:00,2022-10-27,NO
NASDAQ,AAPL,Apple Inc.,2022,3,2022-07-28 17:00:00,2022-07-28,NO
NASDAQ,AAPL,Apple Inc.,2022,2,2022-04-28 14:00:00,2022-04-28,NO
NASDAQ,AAPL,Apple Inc.,2022,1,2022-01-27 14:00:00,2022-01-27,NO
NASDAQ,AAPL,Apple Inc.,2021,4,2021-10-28 16:00:00,2021-10-28,NO
NASDAQ,AAPL,Apple Inc.,2021,3,2021-07-27 16:00:00,2021-07-27,NO
NASDAQ,AAPL,Apple Inc.,2021,2,2021-04-28 16:00:00,2021-04-28,NO
NASDAQ,AAPL,Apple Inc.,2021,1,2021-01-27 14:00:00,2021-01-27,NO
NASDAQ,AAPL,Apple Inc.,2020,4,2020-10-29 14:00:00,2020-10-29,NO
NASDAQ,AAPL,Apple Inc.,2020,3,2020-07-30 14:00:00,2020-07-30,NO
NASDAQ,AAPL,Apple Inc.,2020,2,2020-04-30 14:00:00,2020-04-30,NO
NASDAQ,AAPL,Apple Inc.,2020,1,2020-01-28 14:00:00,2020-01-28,NO
NASDAQ,AAPL,Apple Inc.,2019,4,2019-10-30 14:00:00,2019-10-30,NO
NASDAQ,AAPL,Apple Inc.,2019,3,2019-07-30 14:00:00,2019-07-30,NO
NASDAQ,AAPL,Apple Inc.,2019,2,2019-04-30 17:00:00,2019-04-30,NO
NASDAQ,AAPL,Apple Inc.,2019,1,2019-01-29 14:00:00,2019-01-29,NO
NASDAQ,AAPL,Apple Inc.,2018,4,2018-11-01 17:00:00,2018-11-01,NO
NASDAQ,AAPL,Apple Inc.,2018,3,2018-07-31 17:00:00,2018-07-31,NO
NASDAQ,AMZN,"Amazon.com, Inc.",2025,2,2025-07-31 17:00:00,2025-07-31,YES
NASDAQ,AMZN,"Amazon.com, Inc.",2025,1,2025-05-01 17:00:00,2025-05-01,YES
NASDAQ,AMZN,"Amazon.com, Inc.",2024,4,2025-02-06 17:00:00,2025-02-06,YES
NASDAQ,AMZN,"Amazon.com, Inc.",2024,3,2024-10-31 17:00:00,2024-10-31,YES
NASDAQ,AMZN,"Amazon.com, Inc.",2024,2,2024-08-01 17:30:00,2024-08-01,YES
NASDAQ,AMZN,"Amazon.com, Inc.",2024,1,2024-04-30 17:30:00,2024-04-30,YES
NASDAQ,AMZN,"Amazon.com, Inc.",2023,4,2024-02-01 17:30:00,2024-02-01,NO
NASDAQ,AMZN,"Amazon.com, Inc.",2023,3,2023-10-26 17:30:00,2023-10-26,NO
NASDAQ,AMZN,"Amazon.com, Inc.",2023,2,2023-08-03 14:30:00,2023-08-03,NO
NASDAQ,AMZN,"Amazon.com, Inc.",2023,1,2023-04-27 14:30:00,2023-04-27,NO
NASDAQ,AMZN,"Amazon.com, Inc.",2022,4,2023-02-02 14:30:00,2023-02-02,NO
NASDAQ,AMZN,"Amazon.com, Inc.",2022,3,2022-10-27 17:30:00,2022-10-27,NO
NASDAQ,AMZN,"Amazon.com, Inc.",2022,2,2022-07-28 17:30:00,2022-07-28,NO
NASDAQ,AMZN,"Amazon.com, Inc.",2022,1,2022-04-28 14:30:00,2022-04-28,NO
NASDAQ,AMZN,"Amazon.com, Inc.",2021,4,2022-02-03 14:30:00,2022-02-03,NO
NASDAQ,AMZN,"Amazon.com, Inc.",2021,3,2021-10-28 17:30:00,2021-10-28,NO
NASDAQ,AMZN,"Amazon.com, Inc.",2021,2,2021-07-29 17:30:00,2021-07-29,NO
NASDAQ,AMZN,"Amazon.com, Inc.",2021,1,2021-04-29 17:30:00,2021-04-29,NO
NASDAQ,AMZN,"Amazon.com, Inc.",2020,4,2021-02-02 14:30:00,2021-02-02,NO
NASDAQ,AMZN,"Amazon.com, Inc.",2020,3,2020-10-29 14:30:00,2020-10-29,NO
NASDAQ,AMZN,"Amazon.com, Inc.",2020,2,2020-07-30 17:30:00,2020-07-30,NO
NASDAQ,AMZN,"Amazon.com, Inc.",2020,1,2020-04-30 17:30:00,2020-04-30,NO
NASDAQ,AMZN,"Amazon.com, Inc.",2019,4,2020-01-30 17:30:00,2020-01-30,NO
NASDAQ,AMZN,"Amazon.com, Inc.",2019,3,2019-10-24 17:30:00,2019-10-24,NO
NASDAQ,AMZN,"Amazon.com, Inc.",2019,2,2019-07-25 17:30:00,2019-07-25,NO
NASDAQ,AMZN,"Amazon.com, Inc.",2019,1,2019-04-25 17:30:00,2019-04-25,NO
NASDAQ,AMZN,"Amazon.com, Inc.",2018,4,2019-01-31 17:30:00,2019-01-31,NO
NASDAQ,META,"Meta Platforms, Inc.",2025,2,2025-07-30 17:00:00,2025-07-30,YES
NASDAQ,META,"Meta Platforms, Inc.",2025,1,2025-04-30 14:00:00,2025-04-30,YES
NASDAQ,META,"Meta Platforms, Inc.",2024,4,2025-01-29 17:00:00,2025-01-29,YES
NASDAQ,META,"Meta Platforms, Inc.",2024,3,2024-10-30 17:00:00,2024-10-30,YES
NASDAQ,META,"Meta Platforms, Inc.",2024,2,2024-07-31 17:00:00,2024-07-31,YES
NASDAQ,META,"Meta Platforms, Inc.",2024,1,2024-04-24 17:00:00,2024-04-24,YES
NASDAQ,META,"Meta Platforms, Inc.",2023,4,2024-02-01 16:30:00,2024-02-01,NO
NASDAQ,META,"Meta Platforms, Inc.",2023,3,2023-10-25 17:00:00,2023-10-25,NO
NASDAQ,META,"Meta Platforms, Inc.",2023,2,2023-07-26 17:00:00,2023-07-26,NO
NASDAQ,META,"Meta Platforms, Inc.",2023,1,2023-04-26 17:00:00,2023-04-26,NO
NASDAQ,META,"Meta Platforms, Inc.",2022,4,2023-02-01 17:00:00,2023-02-01,NO
NASDAQ,META,"Meta Platforms, Inc.",2022,3,2022-10-26 17:00:00,2022-10-26,NO
NASDAQ,META,"Meta Platforms, Inc.",2022,2,2022-07-27 14:00:00,2022-07-27,NO
NASDAQ,META,"Meta Platforms, Inc.",2022,1,2022-04-27 17:00:00,2022-04-27,NO
NASDAQ,META,"Meta Platforms, Inc.",2021,4,2022-02-02 17:00:00,2022-02-02,NO
NASDAQ,META,"Meta Platforms, Inc.",2021,3,2021-10-25 17:00:00,2021-10-25,NO
NASDAQ,META,"Meta Platforms, Inc.",2021,2,2021-07-28 17:00:00,2021-07-28,NO
NASDAQ,META,"Meta Platforms, Inc.",2021,1,2021-04-28 17:00:00,2021-04-28,NO
NASDAQ,META,"Meta Platforms, Inc.",2020,4,2021-01-27 17:00:00,2021-01-27,NO
NASDAQ,META,"Meta Platforms, Inc.",2020,3,2020-10-29 15:00:00,2020-10-29,NO
NASDAQ,META,"Meta Platforms, Inc.",2020,2,2020-07-30 15:00:00,2020-07-30,NO
NASDAQ,META,"Meta Platforms, Inc.",2020,1,2020-04-29 14:00:00,2020-04-29,NO
NASDAQ,META,"Meta Platforms, Inc.",2019,4,2020-01-29 14:00:00,2020-01-29,NO
NASDAQ,META,"Meta Platforms, Inc.",2019,3,2019-10-30 14:00:00,2019-10-30,NO
NASDAQ,META,"Meta Platforms, Inc.",2019,2,2019-07-24 14:00:00,2019-07-24,NO
NASDAQ,META,"Meta Platforms, Inc.",2019,1,2019-04-24 14:00:00,2019-04-24,NO
NASDAQ,META,"Meta Platforms, Inc.",2018,4,2019-01-30 17:00:00,2019-01-30,NO
NASDAQ,AVGO,Broadcom Inc.,2025,3,2025-09-04 17:00:00,2025-09-04,YES
NASDAQ,AVGO,Broadcom Inc.,2025,2,2025-06-05 17:00:00,2025-06-05,YES
NASDAQ,AVGO,Broadcom Inc.,2025,1,2025-03-07 04:00:00,2025-03-07,YES
NASDAQ,AVGO,Broadcom Inc.,2024,4,2024-12-12 17:00:00,2024-12-12,YES
NASDAQ,AVGO,Broadcom Inc.,2024,3,2024-09-05 17:00:00,2024-09-05,YES
NASDAQ,AVGO,Broadcom Inc.,2024,2,2024-06-12 17:00:00,2024-06-12,YES
